1959,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno,,,,,,,
645,Mimoděložní těhotenství,5,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,,,,,,,
646,Chudokrevnost těhotenská,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
647,Těhotenství se špatnou polohou plodu v děloze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
648,Jiné komplikace vznikající těhotenstvím,4,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,,,,,,,
649,Těhotenství spojené s jinými stavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
650,Potrat bez zmínky o sepsi nebo toxaemii,6,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,,,,,,,
651,Septický potrat,4,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,,,,,,,
652,Potrat s toxaemií bez zmínky o sepsi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
660,Porod bez komlikací,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
670,Porod komplikovaný vcestným lůžkem nebo předporodním krvácením,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,,,,,,
671,Porod komplikovaný zadrženým lůžkem,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,,,,,,,
672,Porod komplikovaný jiným poporodním krvácením,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,,,,
673,Porod komplikovaný nenormálnostmi kostry pánevní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
674,Porod komplikovaný neúměrností nebo špatnou polohou plodu,7,-,-,-,-,-,-,2,3,2,-,-,-,-,-,-,,,,,,,
675,Porod komplikovaný prodloužením jiného původu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
676,Porod s poraněním hráze bez zmínky o jiném poranění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
677,Porod s jinými poraněními,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
678,Porod s jinými komplikacemi,11,-,-,-,-,-,-,1,7,3,-,-,-,-,-,-,,,,,,,
680,Infekce močových cest v šestinedělí bez jiné sepse,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
681,Sepse při porodu a v šestinedělí,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,,,,,,,
682,Zánět žil a záhať v šestinedělí,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,
683,Horečka neznámého původu v šestinedělí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
684,Plicní vmetek v šestinedělí,3,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,,,,,,,
685,Křeče v šestinedělí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
686,Jiné formy toxaemie v šestinedělí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
687,Mozkové krvácení v šestinedělí,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,,,,
688,Jiné a blíže neoznačené komplikace v šestinedělí,3,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,,,,,,,
689,Zánět prsů a jiné poruchy laktace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
XII,Nemoci kožní,36,2,1,-,-,-,-,-,2,1,1,10,9,5,5,-,,,,,,,
690,Furunkl a karbunkl,6,-,-,-,-,-,-,-,-,-,1,2,2,1,-,-,,,,,,,
691,Zánět podkožního vaziva prstů ruky a nohy,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
692,Jiný zánět a hlízy podkožního vaziva bez zmínky o zánětu mízních cév,11,1,-,-,-,-,-,-,1,-,-,6,3,-,-,-,,,,,,,
693,Jiný zánět podkožního vaziva se zánětem mízních cév,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
694,Prudký zánět mízních uzlin,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
695,Impetigo contagiosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
696,Nakažlivá verruca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
697,Molluscum contagiosum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
698,Jiné místní infekce kůže a podkožního vaziva,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
700,Seboroický zánět kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
701,Ekzém,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
702,Zánět kůže z povolání,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
703,Jiný zánět kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
704,Pemfigus,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,
705,Erythemové afekce,2,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,,,,,,,
706,Lupénka a podobné stavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
707,Lichen planus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
708,Svědivka a sdružené stavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
709,Kuří oko a mozol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
710,Jiné hypertrofické stavy kůže,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
711,Jiné dermatosy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
712,Nemoci nehtů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
713,Nemoci vlasů a váčků vlasových,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
714,Nemoci potních a mazových žláz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
715,Vleklý vřed kožní,10,-,-,-,-,-,-,-,-,-,-,-,3,2,5,-,,,,,,,
716,Jiné nemoci kůže,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
XIII,Nemoci kostí a pohybového ústrojí,88,-,1,-,1,-,1,-,-,2,8,9,33,23,10,-,,,,,,,
720,Prudký zánět kloubů způsobený pyogenními koky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
721,Prudký zánět kloubů původu nepyogenního,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
722,Reumatoidní zánět kloubů a sdružené stavy,53,-,-,-,-,-,-,-,-,1,8,5,16,15,8,-,,,,,,,
723,Osteoarthritis (arthrosis) a sdružené stavy,11,-,-,-,-,-,-,-,-,-,-,-,6,5,-,-,,,,,,,
724,Jiné určité druhy zánětů kloubních,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
725,Zánět kloubů blíže neurčený,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
726,Svalový reumatismus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
727,Reumatismus blíže neurčený,4,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,,,,,,,
730,Zánět dřeně kostní a okostice,6,-,1,-,1,-,-,-,-,1,-,1,2,-,-,-,,,,,,,
731,Pagetova nemoc kostní,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,,,,,,,
732,Osteochondrosis,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
733,Jiné nemoci kostí,3,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,,,,,,,
734,Vnitřní poruchy kolenního kloubu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
735,Výhřez meziobratlové ploténky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
736,Vady ve skloubení kosti pánevní s kostí křížovou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
737,Nehybnost kloubů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
738,Jiné nemoci kloubů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
740,Otlačenina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
741,"Synovitis,bursitis a tenosynovitis bez zmínky o původu z povolání",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
742,"Synovitis,bursitis a tenosynovitis způsobené povoláním",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
743,Zánět svalů a jiná zánětlivá onemocnění šlach a povázek,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
744,"Jiná onemocnění svalů, povázek a šlach",2,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,,,,,,,
745,Zkřivení páteře,4,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,,,,,,,
746,Plochá noha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
747,Vbočení a vybočení palce nohy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
748,Pes aquinovarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
749,Jiné deformity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
XIV,Vrozené vady vývojové,311,242,18,7,4,6,17,9,2,5,-,1,-,-,-,-,,,,,,,
750,Zrůdy,14,13,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
751,Rozštěp páteře a omozečnicová kýla,25,23,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,,,,,
752,Vrozená vodnatelnost mozku,35,30,2,1,-,-,2,-,-,-,-,-,-,-,-,-,,,,,,,
753,Jiné vrozené vývojové vady soustvy nervové a smyslových orgánů,19,8,3,-,2,1,4,1,-,-,-,-,-,-,-,-,,,,,,,
754,Vrozená vývojová vada ústrojí cevního,145,101,10,6,1,5,7,8,1,5,-,1,-,-,-,-,,,,,,,
755,Rozstěp patra a rtu,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
756,Vrozená vývojová vady ústrojí trávicího,31,30,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
757,Vrozená vývojová vada ústrojí močového a pohlavního,13,10,-,-,-,-,2,-,1,-,-,-,-,-,-,-,,,,,,,
758,Vrozená vývojová vada kostí a kloubů,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
759,"Jiné a blíže neurčené vrozené vady vývojové, nejsou-li zařazeny jinde",22,21,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
XV,Zvláštní nemoci raného věku,482,482,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
760,Poranění nitrolební  a míšní při porodu,126,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
761,Jiná poranění při porodu,29,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
762,Asfyxie a bezvzdušnost plic novorozenců,153,153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
763,Zánět plic novorozenců,101,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
764,Průjem novorozenců,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
765,Zánět oka novorozenců,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
766,Puchýřina novorozenců,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
767,Pupečníková sepse,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
768,Jiné sepse novorozenců,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
769,Poruchy u novorozenců vznikající z mateřské toxaemie,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
770,Haemolytická nemoc novorozenců,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
771,Krvácivost novorozenců,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
772,poruchy výživy,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
773,Blíže neurčené nemoci novorozenců,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
774,Nedonošenost se zmínkou o kterémkoli jiném následném stavu,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
775,Nedonošenost jakožto následek jiné příčiny,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
776,Nedonošenost blíže neurčená,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
XVI,"Chorobné příznaky,stařecká sešlost a nedefinovatelné stavy",1 642,4,1,-,-,1,-,-,4,3,9,33,147,754,686,-,,,,,,,
780,Chorobné příznaky soustavy nervové a čidel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
781,Jiné chorobné příznaky soustavy nervové a čidel,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
782,Chorobné příznaky ústrojí cevního,227,-,-,-,-,-,-,-,3,2,7,24,54,99,38,-,,,,,,,
783,Chorobné příznaky ústrojí dýchacího,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
784,Chorobné příznaky horní části ústrojí trávicího,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,,,,,,,
785,Chorobné příznaky břicha a dolní části ústrojí trávicího,2,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,,,,,,,
786,Chorobné příznaky ústrojí pohlavního a močového,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,,,,,,,
787,Chorobné příznaky končetin a zad,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
788,Jiné celkové chorobné příznaky,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
789,Pathologický obsah v moči,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
790,"Nervosita a asthenie, deprese",3,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,,,,,,,
791,Bolest hlavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
792,Uraemie blíže neurčená,6,-,-,-,-,-,-,-,-,-,1,3,2,-,-,-,,,,,,,
793,Pozorování bez potřeby další lékařské péče,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
794,Stařecká sešlost bez zmínky o psychose,1 387,-,-,-,-,-,-,-,-,-,-,2,88,649,648,-,,,,,,,
795,Nepřesné nebo neznámé příčiny nemocí a úmrtí,9,3,-,-,-,-,-,-,1,1,-,1,1,2,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NXVII,Úrazy a otravy podle druhu poranění,2 262,70,33,18,22,12,74,110,126,165,285,305,340,516,186,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Zlomeniny lebky, páteře a kostí trupu",338,3,5,7,2,5,20,26,24,26,55,56,48,52,9,-,,,,,,,
N 800,Zlomenina klenby lebeční,47,2,4,2,1,2,2,4,3,4,7,4,5,7,-,-,,,,,,,
N 801,Zlomenina spodiny lebeční,89,1,1,-,-,2,9,5,9,9,9,17,10,14,3,-,,,,,,,
N 802,Zlomenina obličejových kostí,3,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,,,,,,,
N 803,Jiná nebo neurčená zlomenina lebky,32,-,-,1,-,-,5,2,2,4,5,3,7,2,1,-,,,,,,,
N 804,Zlomenmina lebky nebo kostí obliče- jových sdružená se zlomeninou jiných kostí,53,-,-,2,1,-,1,9,5,2,13,10,4,6,-,-,,,,,,,
N 805,Zlomenina a zlomeninové dislokace páteře bez zmínky o poranění míchy,27,-,-,-,-,1,1,1,-,2,6,6,4,6,-,-,,,,,,,
N 806,Zlomenina a zlomeninové dislokace páteře a poranění míchy,18,-,-,-,-,-,2,1,2,-,3,5,2,3,-,-,,,,,,,
N 807,Zlomeniny žebra (žeber) a hrudní kosti,28,-,-,1,-,-,-,1,-,2,5,5,7,5,2,-,,,,,,,
N 808,Zlomenina pánve,29,-,-,-,-,-,-,3,2,3,3,2,5,8,3,-,,,,,,,
N 809,Mnohočetné a blíže neoznačené zlomeniny kostí trupu,12,-,-,-,-,-,-,-,-,-,4,4,4,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Zlomeniny hrudní končetiny,19,-,-,-,-,-,-,-,-,-,1,3,1,6,8,-,,,,,,,
N 810,Zlomenina kosti klíční,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 812,Zlomenina kosti pažní,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 813,Zlomenina kosti vřetenní a kosti loketní,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 814,Zlomenina kosti zápěstí,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 815,Zlomenina kosti pěstní,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 816,Zlomenina jednoho nebo několika prstních článků ruky,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 817,Jiné mnohočetné nebo blíže neurčené zlomeniny ruky,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 818,Jiné mnohonásobné a špatně určitelné zlomeniny hrudní končetiny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 819,Mnohočetné zlomeniny postihující obě hrudní končetiny a hrudní končetinu se žebrem (žebry) a kostí hrudní,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Zlomeniny pánevní končetiny,575,-,-,-,-,1,1,-,-,1,4,28,112,283,145,-,,,,,,,
N 820,Zlomenina krčku kosti stehenní,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 821,Zlomenina jiné nebo neoznačené části kosti stehenní,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 822,Zlomenina čéšky,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 823,Zlomenina kosti holenní a kosti lýtkové,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 824,Zlomenina kotníku,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 825,Zlomenina jedné nebo několika kostí zánártních nebo nártních,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 826,Zlomenina jednoho nebo několika článků prstu nohy ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 827 ,"Jiné, mnohočetné nebo blíže neurčené zlomeniny pánevní končetiny",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 828,"Mnohočetné zlomeniny obou pánevních končetin, pánevní a hrudní končetiny, pánevní končetiny a žebra (žeber) nebo kosti hrudní",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 829,Zlomenina neurčených kostí,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
,Vymknutí a podvrtnutí bez zlomeniny,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
N 830,Vymknutí a podvrtnutí čelisti,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 831,Vymknutí a podvrtnutí ramene,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 832,Vymknutí a podvrtnutí lokte,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 833,Vymknutí a podvrtnutí zápěstí,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 834,Vymknutí a podvrtnutí prstů,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 835,Vymknutí a podvrtnutí kyčle,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 836 ,Vymknutí a podvrtnutí kolena,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 837,Vymknutí a podvrtnutí kotníku,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 838 ,Vymknutí a podvrtnutí kloubů nohy,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 839,Jiné mnohočetné nebo blíže neurčené luxace,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Zhmoždění kloubů a přilehlých svalů,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
N 840,Zhmoždění ramene a horní části paže,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 841,Zhmodžení lokte a předloktí,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 842,Zhmoždění zápěstí a ruky,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 843,Zhmoždění kyčle a stehna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 844,Zhmoždění kolena a bérce,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 845,Zhmoždění kotníku a nohy,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 846,Zhmoždění krajiny kosti křížové,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 847,zhmoždění jiných nebo neurčených částí beder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 848,Jiné a blíže neurčené zhmoždění,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Poranění hlavy (bez lebečních zlomenin),124,4,1,2,5,-,9,13,3,11,12,8,27,26,3,-,,,,,,,
N 850,Krvavé poranění vlasové části hlavy,2,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,,,,,,,
N 851,Zhmoždění a krevní výron ve vlasové části hlavy,3,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,,,,,,,
N 852,Otřes mozku,24,-,-,-,-,-,-,1,-,1,-,-,7,13,2,-,,,,,,,
N 853,Poranění a zhmoždění mozku,71,2,1,2,5,-,8,12,3,7,7,6,13,4,1,-,,,,,,,
N 854,"Krvácení subarachnoidální, subdurální a extradurální po poranění (bez poranění mozku)",6,1,-,-,-,-,-,-,-,-,-,1,2,2,-,-,,,,,,,
N 855,Jiné nebo neurčené vnitrolební krvácení po poranění (bez poranění mozku),13,1,-,-,-,-,1,-,-,1,2,-,5,3,-,-,,,,,,,
N 856,Poranění hlavy jiného nebo neurčeného druhu,5,-,-,-,-,-,-,-,-,1,2,-,-,2,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Vnitřní poranění hrudníku, břicha a pánve",72,-,-,-,-,-,7,11,10,9,16,7,6,5,1,-,,,,,,,
N 860,Úrazový pneumothorax a haemothorax,4,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,,,,,,,
N 861,Poranění srdce a plic,17,-,-,-,-,-,3,2,4,3,1,3,-,1,-,-,,,,,,,
N 862,Poranění jiných nebo neurčených hrudních orgánů,7,-,-,-,-,-,-,-,1,1,1,2,2,-,-,-,,,,,,,
N 863,Poranění trávicího ústrojí,6,-,-,-,-,-,-,-,-,2,1,-,1,2,-,-,,,,,,,
N 864,Poranění jater,7,-,-,-,-,-,2,1,-,-,2,1,1,-,-,-,,,,,,,
N 865,Poranění sleziny,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
N 866,Poranění ledvin,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
N 867,Poranění orgánů pánevních,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
N 868,Poranění jiných nebo neurčených břišních orgánů,11,-,-,-,-,-,-,4,2,1,1,-,1,2,-,-,,,,,,,
N 869,Vnitřní poranění neurčená nebo postihující současně hrudní a břišní orgány,19,-,-,-,-,-,2,4,2,2,6,1,1,-,1,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Rozdrcení a krvavé zranění obličeje, šíje a trupu",19,-,-,-,-,1,1,3,5,2,2,3,2,-,-,-,,,,,,,
N 871,Enukleace oka,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 872,Krvavé zranění ucha,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 873,Jiné nebo neurčené krvavé zranění obličeje,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 874,Krvavé zranění šíje,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 875,Krvavé zranění hrudníku,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 876,Krvavé zranění beder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 877,Krvavé zranění krajiny křížové,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 878,"Krvavé zranění pohlavních orgánů, rovněž traumatická amputace",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 879,"Mnohonásobná nebo neurčená krvavá zranění v obličeji, šíje a trupu",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Rozdrcení a krvavé zranění hrudní končetiny,3,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,,,,,,,
N 880,Krvavé zranění ramene a horní části paže,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 881,"Krvavé zranění lokte, předloktí a zápěstí, nepostihující šlachy",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 882,"Krvavé zranění zápěstí, postihující šlachy",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 883,"Krvavé zranění ruky, kromě prstů",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 884,Krvavé zranění prstů,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 885,Mnohočetná nebo neurčená krvavá zranění hrudní končetiny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 886,Traumatická amputace palce ruky,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 887,Traumatická amputace jiného prstu ruky,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
N 888,Traumatická amputace ruky a paže,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
